No,カテゴリ（日本語）,カテゴリ（英語）
1,社内業務・ビジネス支援,Internal operations and business support
2,旅行・観光業,Travel & Tourism
3,社会調査・市場リサーチ,Social Research/Market Research
4,ファッション・スタイルアドバイザリー,Fashion and Style Advisory
5,メディア・ニュース生成,Media & News Generation
6,社内コミュニケーション・チーム協働,Internal Communication/Team Collaboration
7,ヘルスケア・ウェルネスアプリケーション,Healthcare and wellness applications
8,オンラインコミュニティ・ソーシャルメディア,Online Community & Social Media
9,言語学習・翻訳サービス,Language learning and translation services
10,建築・インテリアデザイン,Architecture/Interior design
11,音声アシスタント・スマートホーム,Voice assistant/smart home
12,農業,Agriculture
13,スポーツ,Sports
14,育児,Childcare
15,その他,Others
16,AI開発・研究,AI development and research
17,データ解析・予測,Data analysis and prediction
18,自然言語処理・コンテンツ生成,Natural language processing and content generation
19,クリエイティブツール・デザイン支援,Creative tools/design support
20,顧客サービス・チャットボット,Customer service/chatbots
21,教育・トレーニング,Education and training
22,医療・健康ケア,Medical/Health Care
23,ファイナンス・トレーディング,Finance/Trading
24,サイバーセキュリティ・脅威検知,Cyber Security/Threat Detection
25,スマートシティ・IoT,Smart City/IoT
26,オンラインマーケティング・広告,Online Marketing/Advertising
27,ゲーム開発・仮想現実,Game development/Virtual reality
28,ロボット・自動化,Robotics and automation
29,エネルギー管理・最適化,Energy management/optimization
30,環境モニタリング・保護,Environmental monitoring/protection
31,法律・契約書の生成,Legal and contract generation
32,レコメンデーションシステム,Recommendation systems
33,娯楽・エンターテイメント,Entertainment & Entertainment
34,製品設計・改善,Product Design & Improvement